permno,ticker,comnam
10223,CIS,CAMELOT INFORMATION SYSTEMS INC
10224,SHIP,REGENCY CRUISES INC
10225,,AMERICAN TOB CO
10225,,AMERICAN TOB CO
10225,AT,AMERICAN TOB CO
10225,AT,AMERICAN TOB CO
10225,AMB,AMERICAN BRANDS INC
10225,FO,FORTUNE BRANDS INC
10225,FO,FORTUNE BRANDS INC
10225,BEAM,BEAM INC
10225,BEAM,BEAM INC
10225,BEAM,BEAM INC
10226,,A G C INDUSTRIES INC
10227,KISC,KIMMINS INDUSTRIAL SERVICE CORP
10227,KISC,KIMMINS CORP
10228,IFND,INTERFUND CORP
10229,NACS,NORTH AMERICAN COMMUNS CORP NEW
10230,ANDB,ANDOVER SAVINGS BANK MASS
10230,ANDB,ANDOVER BANCORP INC DEL
10230,ANDB,ANDOVER BANCORP INC DEL
10231,CBNH,COMMUNITY BANKSHARES INC NH
10232,ESBK,ELMIRA SAVINGS BANK FSB NY
10232,ESBK,ELMIRA SAVINGS BANK FSB NY
10232,ESBK,ELMIRA SAVINGS BANK NY
10233,,FAMOUS PLAYERS LASKY CORP
10233,,PARAMOUNT FAMOUS LASKY CORP
10233,,PARAMOUNT PUBLIX CORP
10233,,PARAMOUNT PICTURES INC
10233,,UNITED PARAMOUNT THEATRES INC
10233,,AMERICAN BROADCASTING PARAMOUNT
10233,ABP,AMERICAN BROADCASTING PARAMOUNT
10233,ABC,AMERICAN BROADCASTING COS INC
